Computing daily ATM IV...
[2022-06-16] Loading from cache
[2022-06-17] Loading from cache
[2022-06-20] Loading from cache
[2022-06-21] Loading from cache
[2022-06-22] Loading from cache
[2022-06-23] Loading from cache
[2022-06-24] Loading from cache
[2022-06-27] Loading from cache
[2022-06-28] Loading from cache
[2022-06-29] Loading from cache
[2022-06-30] Loading from cache
[2022-07-01] Loading from cache
[2022-07-04] Loading from cache
[2022-07-05] Loading from cache
[2022-07-06] Loading from cache
[2022-07-07] Loading from cache
[2022-07-08] Loading from cache
[2022-07-11] Loading from cache
[2022-07-12] Loading from cache
[2022-07-13] Loading from cache
[2022-07-14] Loading from cache
[2022-07-15] Loading from cache
[2022-07-18] Loading from cache
[2022-07-19] Loading from cache
[2022-07-20] Loading from cache
[2022-07-21] Loading from cache
[2022-07-22] Loading from cache
[2022-07-25] Loading from cache
[2022-07-26] Loading from cache
[2022-07-27] Loading from cache
[2022-07-28] Loading from cache
[2022-07-29] Loading from cache
[2022-08-01] Loading from cache
[2022-08-02] Loading from cache
[2022-08-03] Loading from cache
[2022-08-04] Loading from cache
[2022-08-05] Loading from cache
[2022-08-08] Loading from cache
[2022-08-09] Could not fetch data (might be a holiday)
[2022-08-10] Loading from cache
[2022-08-11] Loading from cache
[2022-08-12] Loading from cache
[2022-08-15] Could not fetch data (might be a holiday)
[2022-08-16] Loading from cache
[2022-08-17] Loading from cache
[2022-08-18] Loading from cache
[2022-08-19] Loading from cache
[2022-08-22] Loading from cache
[2022-08-23] Loading from cache
[2022-08-24] Loading from cache
[2022-08-25] Loading from cache
[2022-08-26] Loading from cache
[2022-08-29] Loading from cache
[2022-08-30] Loading from cache
[2022-08-31] Could not fetch data (might be a holiday)
[2022-09-01] Loading from cache
[2022-09-02] Loading from cache
[2022-09-05] Loading from cache
[2022-09-06] Loading from cache
[2022-09-07] Loading from cache
[2022-09-08] Loading from cache
[2022-09-09] Loading from cache
[2022-09-12] Loading from cache
[2022-09-13] Loading from cache
[2022-09-14] Loading from cache
[2022-09-15] Loading from cache
[2022-09-16] Loading from cache
[2022-09-19] Loading from cache
[2022-09-20] Loading from cache
[2022-09-21] Loading from cache
[2022-09-22] Loading from cache
[2022-09-23] Loading from cache
[2022-09-26] Loading from cache
[2022-09-27] Loading from cache
[2022-09-28] Loading from cache
[2022-09-29] Loading from cache
[2022-09-30] Loading from cache
[2022-10-03] Loading from cache
[2022-10-04] Loading from cache
[2022-10-05] Could not fetch data (might be a holiday)
[2022-10-06] Loading from cache
[2022-10-07] Loading from cache
[2022-10-10] Loading from cache
[2022-10-11] Loading from cache
[2022-10-12] Loading from cache
[2022-10-13] Loading from cache
[2022-10-14] Loading from cache
[2022-10-17] Loading from cache
[2022-10-18] Loading from cache
[2022-10-19] Loading from cache
[2022-10-20] Loading from cache
[2022-10-21] Loading from cache
[2022-10-24] Loading from cache
[2022-10-25] Loading from cache
[2022-10-26] Could not fetch data (might be a holiday)
[2022-10-27] Loading from cache
[2022-10-28] Loading from cache
[2022-10-31] Loading from cache
[2022-11-01] Loading from cache
[2022-11-02] Loading from cache
[2022-11-03] Loading from cache
[2022-11-04] Loading from cache
[2022-11-07] Loading from cache
[2022-11-08] Could not fetch data (might be a holiday)
[2022-11-09] Loading from cache
[2022-11-10] Loading from cache
[2022-11-11] Loading from cache
[2022-11-14] Loading from cache
[2022-11-15] Loading from cache
[2022-11-16] Loading from cache
[2022-11-17] Loading from cache
[2022-11-18] Loading from cache
[2022-11-21] Loading from cache
[2022-11-22] Loading from cache
[2022-11-23] Loading from cache
[2022-11-24] Loading from cache
[2022-11-25] Loading from cache
[2022-11-28] Loading from cache
[2022-11-29] Loading from cache
[2022-11-30] Loading from cache
[2022-12-01] Loading from cache
[2022-12-02] Loading from cache
[2022-12-05] Loading from cache
[2022-12-06] Loading from cache
[2022-12-07] Loading from cache
[2022-12-08] Loading from cache
[2022-12-09] Loading from cache
[2022-12-12] Loading from cache
[2022-12-13] Loading from cache
[2022-12-14] Loading from cache
[2022-12-15] Loading from cache
[2022-12-16] Loading from cache
[2022-12-19] Loading from cache
[2022-12-20] Loading from cache
[2022-12-21] Loading from cache
[2022-12-22] Loading from cache
[2022-12-23] Loading from cache
[2022-12-26] Loading from cache
[2022-12-27] Loading from cache
[2022-12-28] Loading from cache
[2022-12-29] Loading from cache
[2022-12-30] Loading from cache
[2023-01-02] Loading from cache
[2023-01-03] Loading from cache
[2023-01-04] Loading from cache
[2023-01-05] Loading from cache
[2023-01-06] Loading from cache
[2023-01-09] Loading from cache
[2023-01-10] Loading from cache
[2023-01-11] Loading from cache
[2023-01-12] Loading from cache
[2023-01-13] Loading from cache
[2023-01-16] Loading from cache
[2023-01-17] Loading from cache
[2023-01-18] Loading from cache
[2023-01-19] Loading from cache
[2023-01-20] Loading from cache
[2023-01-23] Loading from cache
[2023-01-24] Loading from cache
[2023-01-25] Loading from cache
[2023-01-26] Could not fetch data (might be a holiday)
[2023-01-27] Loading from cache
[2023-01-30] Loading from cache
[2023-01-31] Loading from cache
[2023-02-01] Loading from cache
[2023-02-02] Loading from cache
[2023-02-03] Loading from cache
[2023-02-06] Loading from cache
[2023-02-07] Loading from cache
[2023-02-08] Loading from cache
[2023-02-09] Loading from cache
[2023-02-10] Loading from cache
[2023-02-13] Loading from cache
[2023-02-14] Loading from cache
[2023-02-15] Loading from cache
[2023-02-16] Loading from cache
[2023-02-17] Loading from cache
[2023-02-20] Loading from cache
[2023-02-21] Loading from cache
[2023-02-22] Loading from cache
[2023-02-23] Loading from cache
[2023-02-24] Loading from cache
[2023-02-27] Loading from cache
[2023-02-28] Loading from cache
[2023-03-01] Loading from cache
[2023-03-02] Loading from cache
[2023-03-03] Loading from cache
[2023-03-06] Loading from cache
[2023-03-07] Could not fetch data (might be a holiday)
[2023-03-08] Loading from cache
[2023-03-09] Loading from cache
[2023-03-10] Loading from cache
[2023-03-13] Loading from cache
[2023-03-14] Loading from cache
[2023-03-15] Loading from cache
[2023-03-16] Loading from cache
[2023-03-17] Loading from cache
[2023-03-20] Loading from cache
[2023-03-21] Loading from cache
[2023-03-22] Loading from cache
[2023-03-23] Loading from cache
[2023-03-24] Loading from cache
[2023-03-27] Loading from cache
[2023-03-28] Loading from cache
[2023-03-29] Loading from cache
[2023-03-30] Could not fetch data (might be a holiday)
[2023-03-31] Loading from cache
[2023-04-03] Loading from cache
[2023-04-04] Could not fetch data (might be a holiday)
[2023-04-05] Loading from cache
[2023-04-06] Loading from cache
[2023-04-07] Could not fetch data (might be a holiday)
[2023-04-10] Loading from cache
[2023-04-11] Loading from cache
[2023-04-12] Loading from cache
[2023-04-13] Loading from cache
[2023-04-14] Could not fetch data (might be a holiday)
[2023-04-17] Loading from cache
[2023-04-18] Loading from cache
[2023-04-19] Loading from cache
[2023-04-20] Loading from cache
[2023-04-21] Loading from cache
[2023-04-24] Loading from cache
[2023-04-25] Loading from cache
[2023-04-26] Loading from cache
[2023-04-27] Loading from cache
[2023-04-28] Loading from cache
[2023-05-01] Could not fetch data (might be a holiday)
[2023-05-02] Loading from cache
[2023-05-03] Loading from cache
[2023-05-04] Loading from cache
[2023-05-05] Loading from cache
[2023-05-08] Loading from cache
[2023-05-09] Loading from cache
[2023-05-10] Loading from cache
[2023-05-11] Loading from cache
[2023-05-12] Loading from cache
[2023-05-15] Loading from cache
[2023-05-16] Loading from cache
[2023-05-17] Loading from cache
[2023-05-18] Loading from cache
[2023-05-19] Loading from cache
[2023-05-22] Loading from cache
[2023-05-23] Loading from cache
[2023-05-24] Loading from cache
[2023-05-25] Loading from cache
[2023-05-26] Loading from cache
[2023-05-29] Loading from cache
[2023-05-30] Loading from cache
[2023-05-31] Loading from cache
[2023-06-01] Loading from cache
[2023-06-02] Loading from cache
[2023-06-05] Loading from cache
[2023-06-06] Loading from cache
[2023-06-07] Loading from cache
[2023-06-08] Loading from cache
[2023-06-09] Loading from cache
[2023-06-12] Loading from cache
[2023-06-13] Loading from cache
[2023-06-14] Loading from cache
[2023-06-15] Loading from cache
[2023-06-16] Loading from cache
[2023-06-19] Loading from cache
[2023-06-20] Loading from cache
[2023-06-21] Loading from cache
[2023-06-22] Loading from cache
[2023-06-23] Loading from cache
[2023-06-26] Loading from cache
[2023-06-27] Loading from cache
[2023-06-28] Loading from cache
[2023-06-29] Could not fetch data (might be a holiday)
[2023-06-30] Loading from cache
[2023-07-03] Loading from cache
[2023-07-04] Loading from cache
[2023-07-05] Loading from cache
[2023-07-06] Loading from cache
[2023-07-07] Loading from cache
[2023-07-10] Loading from cache
[2023-07-11] Loading from cache
[2023-07-12] Loading from cache
[2023-07-13] Loading from cache
[2023-07-14] Loading from cache
[2023-07-17] Loading from cache
[2023-07-18] Loading from cache
[2023-07-19] Loading from cache
[2023-07-20] Loading from cache
[2023-07-21] Loading from cache
[2023-07-24] Loading from cache
[2023-07-25] Loading from cache
[2023-07-26] Loading from cache
[2023-07-27] Loading from cache
[2023-07-28] Loading from cache
[2023-07-31] Loading from cache
[2023-08-01] Loading from cache
[2023-08-02] Loading from cache
[2023-08-03] Loading from cache
[2023-08-04] Loading from cache
[2023-08-07] Loading from cache
[2023-08-08] Loading from cache
[2023-08-09] Loading from cache
[2023-08-10] Loading from cache
[2023-08-11] Loading from cache
[2023-08-14] Loading from cache
[2023-08-15] Could not fetch data (might be a holiday)
[2023-08-16] Loading from cache
[2023-08-17] Loading from cache
[2023-08-18] Loading from cache
[2023-08-21] Loading from cache
[2023-08-22] Loading from cache
[2023-08-23] Loading from cache
[2023-08-24] Loading from cache
[2023-08-25] Loading from cache
[2023-08-28] Loading from cache
[2023-08-29] Loading from cache
[2023-08-30] Loading from cache
[2023-08-31] Loading from cache
[2023-09-01] Loading from cache
[2023-09-04] Loading from cache
[2023-09-05] Loading from cache
[2023-09-06] Loading from cache
[2023-09-07] Loading from cache
[2023-09-08] Loading from cache
[2023-09-11] Loading from cache
[2023-09-12] Loading from cache
[2023-09-13] Loading from cache
[2023-09-14] Loading from cache
[2023-09-15] Loading from cache
[2023-09-18] Loading from cache
[2023-09-19] Could not fetch data (might be a holiday)
[2023-09-20] Loading from cache
[2023-09-21] Loading from cache
[2023-09-22] Loading from cache
[2023-09-25] Loading from cache
[2023-09-26] Loading from cache
[2023-09-27] Loading from cache
[2023-09-28] Loading from cache
[2023-09-29] Loading from cache
[2023-10-02] Could not fetch data (might be a holiday)
[2023-10-03] Loading from cache
[2023-10-04] Loading from cache
[2023-10-05] Loading from cache
[2023-10-06] Loading from cache
[2023-10-09] Loading from cache
[2023-10-10] Loading from cache
[2023-10-11] Loading from cache
[2023-10-12] Loading from cache
[2023-10-13] Loading from cache
[2023-10-16] Loading from cache
[2023-10-17] Loading from cache
[2023-10-18] Loading from cache
[2023-10-19] Loading from cache
[2023-10-20] Loading from cache
[2023-10-23] Loading from cache
[2023-10-24] Could not fetch data (might be a holiday)
[2023-10-25] Loading from cache
[2023-10-26] Loading from cache
[2023-10-27] Loading from cache
[2023-10-30] Loading from cache
[2023-10-31] Loading from cache
[2023-11-01] Loading from cache
[2023-11-02] Loading from cache
[2023-11-03] Loading from cache
[2023-11-06] Loading from cache
[2023-11-07] Loading from cache
[2023-11-08] Loading from cache
[2023-11-09] Loading from cache
[2023-11-10] Loading from cache
[2023-11-13] Loading from cache
[2023-11-14] Could not fetch data (might be a holiday)
[2023-11-15] Loading from cache
[2023-11-16] Loading from cache
[2023-11-17] Loading from cache
[2023-11-20] Loading from cache
[2023-11-21] Loading from cache
[2023-11-22] Loading from cache
[2023-11-23] Loading from cache
[2023-11-24] Loading from cache
[2023-11-27] Could not fetch data (might be a holiday)
[2023-11-28] Loading from cache
[2023-11-29] Loading from cache
[2023-11-30] Loading from cache
[2023-12-01] Loading from cache
[2023-12-04] Loading from cache
[2023-12-05] Loading from cache
[2023-12-06] Loading from cache
[2023-12-07] Loading from cache
[2023-12-08] Loading from cache
[2023-12-11] Loading from cache
[2023-12-12] Loading from cache
[2023-12-13] Loading from cache
[2023-12-14] Loading from cache
[2023-12-15] Loading from cache
[2023-12-18] Loading from cache
[2023-12-19] Loading from cache
[2023-12-20] Loading from cache
[2023-12-21] Loading from cache
[2023-12-22] Loading from cache
[2023-12-25] Could not fetch data (might be a holiday)
[2023-12-26] Loading from cache
[2023-12-27] Loading from cache
[2023-12-28] Loading from cache
[2023-12-29] Loading from cache
[2024-01-01] Loading from cache
[2024-01-02] Loading from cache
[2024-01-03] Loading from cache
[2024-01-04] Loading from cache
[2024-01-05] Loading from cache
[2024-01-08] Loading from cache
[2024-01-09] Loading from cache
[2024-01-10] Loading from cache
[2024-01-11] Loading from cache
[2024-01-12] Loading from cache
[2024-01-15] Loading from cache
[2024-01-16] Loading from cache
[2024-01-17] Loading from cache
[2024-01-18] Loading from cache
[2024-01-19] Loading from cache
[2024-01-22] Could not fetch data (might be a holiday)
[2024-01-23] Loading from cache
[2024-01-24] Loading from cache
[2024-01-25] Loading from cache
[2024-01-26] Could not fetch data (might be a holiday)
[2024-01-29] Loading from cache
[2024-01-30] Loading from cache
[2024-01-31] Loading from cache
[2024-02-01] Loading from cache
[2024-02-02] Loading from cache
[2024-02-05] Loading from cache
[2024-02-06] Loading from cache
[2024-02-07] Loading from cache
[2024-02-08] Loading from cache
[2024-02-09] Loading from cache
[2024-02-12] Loading from cache
[2024-02-13] Loading from cache
[2024-02-14] Loading from cache
[2024-02-15] Loading from cache
[2024-02-16] Loading from cache
[2024-02-19] Loading from cache
[2024-02-20] Loading from cache
[2024-02-21] Loading from cache
[2024-02-22] Loading from cache
[2024-02-23] Loading from cache
[2024-02-26] Loading from cache
[2024-02-27] Loading from cache
[2024-02-28] Loading from cache
[2024-02-29] Loading from cache
[2024-03-01] Loading from cache
[2024-03-04] Loading from cache
[2024-03-05] Loading from cache
[2024-03-06] Loading from cache
[2024-03-07] Loading from cache
[2024-03-08] Could not fetch data (might be a holiday)
[2024-03-11] Loading from cache
[2024-03-12] Loading from cache
[2024-03-13] Loading from cache
[2024-03-14] Loading from cache
[2024-03-15] Loading from cache
[2024-03-18] Loading from cache
[2024-03-19] Loading from cache
[2024-03-20] Loading from cache
[2024-03-21] Loading from cache
[2024-03-22] Loading from cache
[2024-03-25] Could not fetch data (might be a holiday)
[2024-03-26] Loading from cache
[2024-03-27] Loading from cache
[2024-03-28] Loading from cache
[2024-03-29] Could not fetch data (might be a holiday)
[2024-04-01] Loading from cache
[2024-04-02] Loading from cache
[2024-04-03] Loading from cache
[2024-04-04] Loading from cache
[2024-04-05] Loading from cache
[2024-04-08] Loading from cache
[2024-04-09] Loading from cache
[2024-04-10] Loading from cache
[2024-04-11] Could not fetch data (might be a holiday)
[2024-04-12] Loading from cache
[2024-04-15] Loading from cache
[2024-04-16] Loading from cache
[2024-04-17] Could not fetch data (might be a holiday)
[2024-04-18] Loading from cache
[2024-04-19] Loading from cache
[2024-04-22] Loading from cache
[2024-04-23] Loading from cache
[2024-04-24] Loading from cache
[2024-04-25] Loading from cache
[2024-04-26] Loading from cache
[2024-04-29] Loading from cache
[2024-04-30] Loading from cache
[2024-05-01] Could not fetch data (might be a holiday)
[2024-05-02] Loading from cache
[2024-05-03] Loading from cache
[2024-05-06] Loading from cache
[2024-05-07] Loading from cache
[2024-05-08] Loading from cache
[2024-05-09] Loading from cache
[2024-05-10] Loading from cache
[2024-05-13] Loading from cache
[2024-05-14] Loading from cache
[2024-05-15] Loading from cache
[2024-05-16] Loading from cache
[2024-05-17] Loading from cache
[2024-05-20] Could not fetch data (might be a holiday)
[2024-05-21] Loading from cache
[2024-05-22] Loading from cache
[2024-05-23] Loading from cache
[2024-05-24] Loading from cache
[2024-05-27] Loading from cache
[2024-05-28] Loading from cache
[2024-05-29] Loading from cache
[2024-05-30] Loading from cache
[2024-05-31] Loading from cache
[2024-06-03] Loading from cache
[2024-06-04] Loading from cache
[2024-06-05] Loading from cache
[2024-06-06] Loading from cache
[2024-06-07] Loading from cache
[2024-06-10] Loading from cache
[2024-06-11] Loading from cache
[2024-06-12] Loading from cache
[2024-06-13] Loading from cache
[2024-06-14] Loading from cache
[2024-06-17] Could not fetch data (might be a holiday)
[2024-06-18] Loading from cache
[2024-06-19] Loading from cache
[2024-06-20] Loading from cache
[2024-06-21] Loading from cache
[2024-06-24] Loading from cache
[2024-06-25] Loading from cache
[2024-06-26] Loading from cache
[2024-06-27] Loading from cache
[2024-06-28] Loading from cache
[2024-07-01] Loading from cache
[2024-07-02] Loading from cache
[2024-07-03] Loading from cache
[2024-07-04] Loading from cache
[2024-07-05] Loading from cache
[2024-07-08] Loading from cache
[2024-07-09] Loading from cache
[2024-07-10] Loading from cache
[2024-07-11] Loading from cache
[2024-07-12] Loading from cache
[2024-07-15] Loading from cache
[2024-07-16] Loading from cache
[2024-07-17] Could not fetch data (might be a holiday)
[2024-07-18] Loading from cache
[2024-07-19] Loading from cache
[2024-07-22] Loading from cache
[2024-07-23] Loading from cache
[2024-07-24] Loading from cache
[2024-07-25] Loading from cache
[2024-07-26] Loading from cache
[2024-07-29] Loading from cache
[2024-07-30] Loading from cache
[2024-07-31] Loading from cache
[2024-08-01] Loading from cache
[2024-08-02] Loading from cache
[2024-08-05] Loading from cache
[2024-08-06] Loading from cache
[2024-08-07] Loading from cache
[2024-08-08] Loading from cache
[2024-08-09] Loading from cache
[2024-08-12] Loading from cache
[2024-08-13] Loading from cache
[2024-08-14] Loading from cache
[2024-08-15] Could not fetch data (might be a holiday)
[2024-08-16] Loading from cache
[2024-08-19] Loading from cache
[2024-08-20] Loading from cache
[2024-08-21] Loading from cache
[2024-08-22] Loading from cache
[2024-08-23] Loading from cache
[2024-08-26] Loading from cache
[2024-08-27] Loading from cache
[2024-08-28] Loading from cache
[2024-08-29] Loading from cache
[2024-08-30] Loading from cache
Saved to atm_iv.csv. Head:
        date         f  atm_strike    atm_iv  ivp_252
0 2019-01-01  10960.55     10950.0  0.142210      NaN
1 2019-01-02  10830.85     10850.0  0.152596      NaN
2 2019-01-03  10718.50     10700.0  0.158477      NaN
3 2019-01-04  10777.60     10800.0  0.149041      NaN
4 2019-01-07  10803.45     10800.0  0.151510      NaN
Tail:
           date         f  atm_strike    atm_iv    ivp_252
1229 2023-12-22  21402.35     21400.0  0.110996  42.063492
1230 2023-12-26  21472.30     21450.0  0.142907  79.365079
1231 2023-12-27  21681.80     21700.0  0.133742  73.015873
1232 2023-12-28  21778.70     21800.0  0.133742  72.817460
1233 2023-12-29  21885.95     21900.0  0.124439  60.317460
